cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class,Gill-Color
x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,8,p,k,s,u,p,k
x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,e,k
b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e,n
x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,8,p,k,s,u,p,n
,s,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,8,e,n,a,g,e,k
x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,8,p,k,n,g,e,n
,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,e,g
b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,e,n
x,y,w,t,,,c,n,p,e,e,s,s,w,w,p,w,8,p,k,v,g,p,p
b,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,8,p,k,s,m,e,g
x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e,g
x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,8,p,k,s,m,e,n
,s,y,t,,,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,e,w
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,p,k
,f,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,8,e,k,a,g,e,n
,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u,e,k
f,f,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,8,e,n,a,g,e,k
,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g,p,n
x,y,w,t,,,c,n,n,e,e,s,s,w,w,p,w,8,p,n,s,u,p,n
x,s,n,t,p,,c,n,k,e,e,s,s,w,w,p,w,8,p,n,s,u,p,k
b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,e,k
x,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g,p,n
b,y,Y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,8,p,n,s,m,e,k
,y,w,t,,,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e,w
b,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,8,p,k,s,m,e,g
f,s,w,t,,,c,n,n,e,e,s,s,w,w,p,w,8,p,n,v,g,p,n
x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,e,n
x,y,w,t,l,,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,e,w
f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,y,u,e,k
x,s,y,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,e,n
,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e,g
x,y,w,t,,,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,p,k
x,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,8,p,n,n,m,e,n
x,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,8,p,n,y,p,e,p
,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,8,p,n,s,m,e,n
x,f,Y,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,e,w
s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u,e,k
x,y,n,t,p,,c,n,w,e,e,s,s,w,w,p,w,8,p,n,s,u,p,w
x,f,y,t,,f,w,n,p,t,b,s,s,w,w,p,w,8,p,n,v,d,e,p
b,s,y,t,,f,c,b,k,e,c,s,s,w,w,p,w,8,p,k,s,m,e,k
b,y,y,t,,f,c,b,n,e,c,s,s,w,w,p,w,8,p,n,s,g,e,n
