Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,Concrete Compressive Strength,Fine_Agg_Copy,Cement_Scaled
540.0,0.0,0.0,,2.5,1040.0,676.0,28,79.99,676.0,54.0
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.89,676.0,54.0
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.27,594.0,33.25
332.5,1078.1999999999998,0.0,228.0,0.0,932.0,594.0,365,41.05,594.0,33.25
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.3,825.5,19.86
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.03,670.0,26.6
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.7,594.0,38.0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,-1,36.45,594.0,38.0
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85,670.0,26.6
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29,594.0,47.5
198.6,132.4,0.0,192.0,,978.4,825.5,90,38.07,825.5,19.86
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.02,825.5,19.86
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01,594.0,42.75
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.33,670.0,19.0
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.81,670.0,30.4
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.91,670.0,38.0
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.36,806.9,13.959999999999999
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.14,670.0,34.2
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.56,594.0,38.0
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.62,594.0,47.5
427.5,47.5,0.0,228.0,,932.0,594.0,180,41.84,594.0,42.75
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,28.24,806.9,13.959999999999999
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06,806.9,13.959999999999999
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.21,806.9,13.959999999999999
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.52,670.0,38.0
380.0,0.0,0.0,228.0,,932.0,670.0,270,53.3,670.0,38.0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,-1,41.15,594.0,38.0
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.12,670.0,34.2
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,37.43,594.0,42.75
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.6,594.0,47.5
304.0,1078.1999999999998,0.0,228.0,0.0,932.0,670.0,365,55.26,670.0,30.4
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.91,670.0,26.6
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.72,825.5,19.86
475.0,0.0,0.0,228.0,0.0,466.0,594.0,270,42.13,594.0,47.5
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69,670.0,19.0
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.41,594.0,23.75
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,30.08,594.0,23.75
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.72,594.0,33.25
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.23,594.0,47.5
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.25,594.0,23.75
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.46,670.0,34.2
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,43.7,594.0,42.75
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,39.0,594.0,23.75
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.1,670.0,38.0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.54,594.0,42.75
427.5,47.5,0.0,228.0,,932.0,594.0,7,35.08,594.0,42.75
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.05,806.9,34.9
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,40.76,594.0,38.0
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.26,594.0,23.75
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,32.82,594.0,38.0
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.78,594.0,33.25
190.0,190.0,0.0,,0.0,932.0,670.0,180,46.93,670.0,19.0
237.5,237.5,0.0,228.0,0.0,932.0,594.0,-1,33.12,594.0,23.75
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,49.19,670.0,30.4
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.59,806.9,13.959999999999999
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,14.64,825.5,19.86
475.0,0.0,0.0,,0.0,932.0,594.0,365,41.93,594.0,47.5
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.13,825.5,19.86
304.0,76.0,0.0,228.0,0.0,932.0,670.0,180,50.95,670.0,30.4
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,33.02,594.0,33.25
304.0,76.0,0.0,228.0,0.0,932.0,670.0,-1,54.38,670.0,30.4
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,51.73,670.0,26.6
310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,9.87,850.6,31.0
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,50.66,670.0,19.0
266.0,114.0,0.0,228.0,0.0,932.0,670.0,180,48.7,670.0,26.6
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270,55.06,670.0,34.2
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.7,806.9,13.959999999999999
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7,30.28,594.0,33.25
190.0,190.0,0.0,228.0,0.0,932.0,670.0,28,40.86,670.0,19.0
485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28,71.99,800.0,48.5
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,34.4,756.7,37.4
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3,28.8,611.8,31.330000000000002
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,887.1,42.5
425.0,106.3,0.0,151.4,18.6,936.0,803.7,3,36.3,803.7,42.5
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,29.0,992.6,37.5
475.0,118.8,0.0,181.1,8.9,852.1,781.5,3,37.8,781.5,47.5
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3,40.2,840.5,46.9
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,887.1,42.5
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,28.1,925.7,38.86
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3,41.3,893.7,53.129999999999995
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,887.1,42.5
318.8,212.5,0.0,155.7,14.3,852.1,880.4,3,25.2,880.4,31.880000000000003
